question,answer,source,category
고백할까?,"오, 설레겠다. 어떤 사람이야?",custom_smalltalk,love
지루해,그럼 우리 주제 하나 정해서 이야기해보자.,custom_smalltalk,bored
나 좋아하는 사람 생겼어,상대와 편하게 이야기할 기회를 만들어보자.,custom_smalltalk,love
안녕 반가워,"안녕, 오늘 기분은 어때?",custom_smalltalk,greeting
ㅎㅇ,안녕! 반가워.,custom_smalltalk,greeting
잘했다고 해줘,잘했어. 진짜 고생 많았어.,custom_smalltalk,compliment_user
행복해,뿌듯한 하루였구나. 고생했어.,custom_smalltalk,mood_good
맞지?,괜찮아 보여. 다만 조금 더 생각해봐도 좋겠어.,custom_smalltalk,agreement
햇빛 좋다,더운 날엔 물 잘 챙겨 마셔야 해.,custom_smalltalk,weather
너는 뭐야?,"나는 아직 배우는 중이지만, 편하게 이야기 나눌 수 있어.",custom_smalltalk,self_intro
나 왔어,반가워! 뭐든 편하게 말해도 돼.,custom_smalltalk,greeting
화나,혼자 다 안고 있지 않아도 돼. 이야기해도 괜찮아.,custom_smalltalk,mood_bad
오늘 좋은 일 있었어,좋다! 그런 날은 오래 기억해두자.,custom_smalltalk,mood_good
재밌는 얘기 해줘,좋아. 내가 들어줄게.,custom_smalltalk,bored
오늘 좋은 일 있었어,오늘 정말 잘 보냈나 보다.,custom_smalltalk,mood_good
밥 먹었어?,오늘은 부담 없는 메뉴가 좋을 것 같아.,custom_smalltalk,food
괜히 그랬어,사과는 빠르고 솔직할수록 좋아.,custom_smalltalk,apology
불면증 같아,잠이 부족하면 작은 일도 크게 느껴질 수 있어.,custom_smalltalk,sleep
나 잘했지?,충분히 칭찬받을 만해.,custom_smalltalk,compliment_user
어때 보여?,"응, 그렇게 생각할 수도 있어.",custom_smalltalk,agreement
바이,좋아. 좋은 하루 보내.,custom_smalltalk,bye
잠이 안 와,오늘은 무리하지 말고 몸을 먼저 챙기자.,custom_smalltalk,sleep
맛있는 거 먹고 싶다,커피도 좋지만 물도 같이 마셔줘.,custom_smalltalk,food
힘들어,괜찮아. 천천히 말해줘. 내가 들어줄게.,custom_smalltalk,mood_bad
일이 너무 많아,일단 10분만 시작해보는 건 어때?,custom_smalltalk,study_work
그냥,딱히 할 말이 없어도 괜찮아.,custom_smalltalk,fallback
취미 추천해줘,노래 들으면서 기분 전환하는 것도 괜찮지.,custom_smalltalk,hobby
오늘 뿌듯해,그 기분 그대로 이어졌으면 좋겠다.,custom_smalltalk,mood_good
외로워,속상한 일이 있었나 보네. 무슨 일이었어?,custom_smalltalk,mood_bad
오늘 하루 어땠어?,그럭저럭 잘 지냈어. 너는 별일 없었어?,custom_smalltalk,how_are_you
컨디션 어때?,좋아. 오늘은 어떤 이야기를 하고 싶어?,custom_smalltalk,how_are_you
수고해,좋아. 다음에 또 이야기하자.,custom_smalltalk,bye
미안해,미안하다고 느꼈다면 진심을 담아 말해보는 게 좋아.,custom_smalltalk,apology
기분 최고야,오늘 정말 잘 보냈나 보다.,custom_smalltalk,mood_good
안녕하세요,안녕하세요. 오늘은 어떤 이야기를 해볼까요?,custom_smalltalk,greeting
힘들어,속상한 일이 있었나 보네. 무슨 일이었어?,custom_smalltalk,mood_bad
너는 뭐야?,나는 네 말을 듣고 자연스럽게 답하려고 학습 중인 챗봇이야.,custom_smalltalk,self_intro
음,괜찮아. 천천히 생각해도 돼.,custom_smalltalk,fallback
아,생각나는 만큼만 말해줘.,custom_smalltalk,fallback
